MD	TVD
4400	4333.154113
4400.5	4333.646517
4401	4334.138921
4401.5	4334.631325
4402	4335.123729
4402.5	4335.616133
4403	4336.108537
4403.5	4336.60094
4404	4337.093344
4404.5	4337.585748
4405	4338.078152
4405.5	4338.570556
4406	4339.06296
4406.5	4339.555364
4407	4340.047768
4407.5	4340.540171
4408	4341.032575
4408.5	4341.524979
4409	4342.017383
4409.5	4342.509787
4410	4343.002191
4410.5	4343.494595
4411	4343.986999
4411.5	4344.479402
4412	4344.971806
4412.5	4345.46421
4413	4345.956614
4413.5	4346.449018
4414	4346.941422
4414.5	4347.433826
4415	4347.92623
4415.5	4348.418633
4416	4348.911037
4416.5	4349.403441
4417	4349.895845
4417.5	4350.388249
4418	4350.880653
4418.5	4351.373057
4419	4351.865461
4419.5	4352.357864
4420	4352.850268
4420.5	4353.342672
4421	4353.835076
4421.5	4354.32748
4422	4354.819884
4422.5	4355.312288
4423	4355.804692
4423.5	4356.297095
4424	4356.789499
4424.5	4357.281903
4425	4357.774307
4425.5	4358.266711
4426	4358.759115
4426.5	4359.251519
4427	4359.743923
4427.5	4360.236326
4428	4360.72873
4428.5	4361.221134
4429	4361.713538
4429.5	4362.205942
4430	4362.698346
4430.5	4363.19075
4431	4363.683154
4431.5	4364.175557
4432	4364.667961
4432.5	4365.160365
4433	4365.652769
4433.5	4366.145173
4434	4366.637577
4434.5	4367.129981
4435	4367.622385
4435.5	4368.114788
4436	4368.607192
4436.5	4369.099596
4437	4369.592
4437.5	4370.084404
4438	4370.576808
4438.5	4371.069212
4439	4371.561616
4439.5	4372.054019
4440	4372.546423
4440.5	4373.038827
4441	4373.531231
4441.5	4374.023635
4442	4374.516039
4442.5	4375.008443
4443	4375.500847
4443.5	4375.993251
4444	4376.485654
4444.5	4376.978058
4445	4377.470462
4445.5	4377.962866
4446	4378.45527
4446.5	4378.947674
4447	4379.440078
4447.5	4379.932482
4448	4380.424885
4448.5	4380.917289
4449	4381.409693
4449.5	4381.902097
4450	4382.394501
4450.5	4382.886905
4451	4383.379309
4451.5	4383.871713
4452	4384.364116
4452.5	4384.85652
4453	4385.348924
4453.5	4385.841328
4454	4386.333732
4454.5	4386.826136
4455	4387.31854
4455.5	4387.810944
4456	4388.303347
4456.5	4388.795751
4457	4389.288155
4457.5	4389.780559
4458	4390.272963
4458.5	4390.765367
4459	4391.257771
4459.5	4391.750175
4460	4392.242578
4460.5	4392.734982
4461	4393.227386
4461.5	4393.71979
4462	4394.212194
4462.5	4394.704598
4463	4395.197002
4463.5	4395.689406
4464	4396.181809
4464.5	4396.674213
4465	4397.166617
4465.5	4397.659021
4466	4398.151425
4466.5	4398.643829
4467	4399.136233
4467.5	4399.628637
4468	4400.12104
4468.5	4400.613444
4469	4401.105848
4469.5	4401.598252
4470	4402.090656
4470.5	4402.58306
4471	4403.075464
4471.5	4403.567868
4472	4404.060271
4472.5	4404.552675
4473	4405.045079
4473.5	4405.537483
4474	4406.029887
4474.5	4406.522291
4475	4407.014695
4475.5	4407.507099
4476	4407.999502
4476.5	4408.491906
4477	4408.98431
4477.5	4409.476714
4478	4409.969118
4478.5	4410.461522
4479	4410.953926
4479.5	4411.44633
4480	4411.938733
4480.5	4412.431137
4481	4412.923541
4481.5	4413.415945
4482	4413.908349
4482.5	4414.400753
4483	4414.893157
4483.5	4415.385561
4484	4415.877965
4484.5	4416.370368
4485	4416.862772
4485.5	4417.355176
4486	4417.84758
4486.5	4418.339984
4487	4418.832388
4487.5	4419.324792
4488	4419.817196
4488.5	4420.309599
4489	4420.802003
4489.5	4421.294407
4490	4421.786811
4490.5	4422.279215
4491	4422.771619
4491.5	4423.264023
4492	4423.756427
4492.5	4424.24883
4493	4424.741234
4493.5	4425.233638
4494	4425.726042
4494.5	4426.218446
4495	4426.71085
4495.5	4427.203254
4496	4427.695658
4496.5	4428.188061
4497	4428.680465
4497.5	4429.172869
4498	4429.665273
4498.5	4430.157677
4499	4430.650081
4499.5	4431.142485
4500	4431.634889
4500.5	4432.127292
4501	4432.619696
4501.5	4433.1121
4502	4433.604504
4502.5	4434.096908
4503	4434.589312
4503.5	4435.081716
4504	4435.57412
4504.5	4436.066523
4505	4436.558927
4505.5	4437.051331
4506	4437.543735
4506.5	4438.036139
4507	4438.528543
4507.5	4439.020947
4508	4439.513351
4508.5	4440.005754
4509	4440.498158
4509.5	4440.990562
4510	4441.482966
4510.5	4441.97537
4511	4442.467774
4511.5	4442.960178
4512	4443.452582
4512.5	4443.944985
4513	4444.437389
4513.5	4444.929793
4514	4445.422197
4514.5	4445.914601
4515	4446.407005
4515.5	4446.899409
4516	4447.391813
4516.5	4447.884216
4517	4448.37662
4517.5	4448.869024
4518	4449.361428
4518.5	4449.853832
4519	4450.346236
4519.5	4450.83864
4520	4451.331044
4520.5	4451.823447
4521	4452.315851
4521.5	4452.808255
4522	4453.300659
4522.5	4453.793063
4523	4454.285467
4523.5	4454.777871
4524	4455.270275
4524.5	4455.762679
4525	4456.255082
4525.5	4456.747486
4526	4457.23989
4526.5	4457.732294
4527	4458.224698
4527.5	4458.717102
4528	4459.209506
4528.5	4459.70191
4529	4460.194313
4529.5	4460.686717
4530	4461.179121
4530.5	4461.671525
4531	4462.163929
4531.5	4462.656333
4532	4463.148737
4532.5	4463.641141
4533	4464.133544
4533.5	4464.625948
4534	4465.118352
4534.5	4465.610756
4535	4466.10316
4535.5	4466.595564
4536	4467.087968
4536.5	4467.580372
4537	4468.072775
4537.5	4468.565179
4538	4469.057583
4538.5	4469.549987
4539	4470.042391
4539.5	4470.534795
4540	4471.027199
4540.5	4471.519603
4541	4472.012006
4541.5	4472.50441
4542	4472.996814
4542.5	4473.489218
4543	4473.981622
4543.5	4474.474026
4544	4474.96643
4544.5	4475.458834
4545	4475.951237
4545.5	4476.443641
4546	4476.936045
4546.5	4477.428449
4547	4477.920853
4547.5	4478.413257
4548	4478.905661
4548.5	4479.398065
4549	4479.890468
4549.5	4480.382872
4550	4480.875276
4550.5	4481.36768
4551	4481.860084
4551.5	4482.352488
4552	4482.844892
4552.5	4483.337296
4553	4483.829699
4553.5	4484.322103
4554	4484.814507
4554.5	4485.306911
4555	4485.799315
4555.5	4486.291719
4556	4486.784123
4556.5	4487.276527
4557	4487.76893
